X,Y,oa11cd,lad11cd
-3.21327618730454,52.0264965804164,W00002375,W06000023
-3.11922442138866,52.0201999074526,W00002376,W06000023
-3.1585711464387,52.0601575318251,W00002377,W06000023
-3.12816442285642,52.0735409255442,W00002378,W06000023
-3.12544388519966,52.0762969032083,W00002379,W06000023
-3.12839974983011,52.0697242660475,W00002380,W06000023
-3.12248465713511,52.0721768905722,W00002381,W06000023
-3.13769916996836,52.0732606409375,W00002382,W06000023
-3.13343883796487,52.0673724372569,W00002383,W06000023
-3.17280907470478,52.5059491720916,W00002384,W06000023
-3.25931333988436,52.5026022363412,W00002385,W06000023
-3.22416633233559,52.5031063903108,W00002386,W06000023
-3.29415035619665,52.4738041076992,W00002387,W06000023
-3.25726585385553,52.5004070980593,W00002388,W06000023
-3.25406543330603,52.4981410094712,W00002389,W06000023
-3.05683228237646,52.3439776810544,W00002390,W06000023
-3.04550442694109,52.3448613859635,W00002391,W06000023
-3.05331790283355,52.3398380764646,W00002392,W06000023
-3.04236652325818,52.3392897350378,W00002393,W06000023
-3.05059835738625,52.3442070528877,W00002394,W06000023
-3.05572293550328,52.3426233285103,W00002395,W06000023
-3.04859970729786,52.342557498514,W00002396,W06000023
-3.02726408127094,52.3324883699634,W00002397,W06000023
-2.99089806277768,52.3396037483835,W00002398,W06000023
-3.06795498805678,52.3378802632483,W00002399,W06000023
-3.05120577454595,52.3459075243905,W00002400,W06000023
-3.41767242456089,52.154059204916,W00002401,W06000023
-3.46577894159199,52.1552816983477,W00002402,W06000023
-3.43438856099792,52.1210882377826,W00002403,W06000023
-3.53248786555898,52.1954710274162,W00002404,W06000023
-3.60094399227082,52.2459037438718,W00002405,W06000023
-3.32615240104115,52.2774160906866,W00002406,W06000023
-3.34203430817333,52.2737813248686,W00002407,W06000023
-3.28513615591217,52.253687777617,W00002408,W06000023
-3.60152584242155,52.585002580403,W00002409,W06000023
-3.62359306468997,52.6582887587117,W00002410,W06000023
-3.66464672933418,52.5740312614808,W00002411,W06000023
-3.41606488524963,52.4793713703781,W00002412,W06000023
-3.46329770011528,52.4353750591414,W00002413,W06000023
-3.44201217947516,52.4951098980669,W00002414,W06000023
-3.38051372058156,52.4657016222045,W00002415,W06000023
-3.37457797636377,52.5074578536422,W00002416,W06000023
-3.37716223946217,52.2413079757527,W00002417,W06000023
-3.38801125161348,52.2414568985884,W00002418,W06000023
-3.38067934608928,52.2392325891133,W00002419,W06000023
-3.38386532885026,52.2448806579714,W00002420,W06000023
-3.37340950061466,52.2425420721992,W00002421,W06000023
-3.37538401829162,52.2454569045952,W00002422,W06000023
-3.36579261110381,52.2489924883234,W00002423,W06000023
-3.38409405463737,52.2484162803083,W00002424,W06000023
-3.37977127635489,52.2477826638572,W00002425,W06000023
-3.36558061579846,52.2551707812242,W00002426,W06000023
-3.37748533392883,52.2477364052158,W00002427,W06000023
-3.36347954964941,52.2390389796494,W00002429,W06000023
-3.37732780737238,52.2371240488294,W00002430,W06000023
-3.35654832312914,52.2337967286532,W00002431,W06000023
-3.37971271566471,52.2373781433248,W00002432,W06000023
-3.38682280059967,52.2351827304502,W00002433,W06000023
-2.9830446903889,52.7276416808081,W00002436,W06000023
-3.03891681596259,52.727232261932,W00002437,W06000023
-3.09273091110472,52.718951889613,W00002438,W06000023
-3.07981919708401,52.7407103861894,W00002439,W06000023
-3.04102731263447,52.7455072930212,W00002440,W06000023
-3.12579287331188,52.7379081800592,W00002441,W06000023
-3.10438336596725,52.7804114790382,W00002442,W06000023
-3.09091638931246,52.7758728982257,W00002443,W06000023
-3.04663438057277,52.7616342227999,W00002444,W06000023
-3.10087696807155,52.7612020424164,W00002445,W06000023
-3.07547776352823,52.7588524752561,W00002446,W06000023
-3.31267191870113,52.1331317528693,W00002447,W06000023
-3.26725352407733,52.1860903319389,W00002448,W06000023
-3.32788140019253,52.1875726419022,W00002449,W06000023
-3.37584087943735,52.1637812980148,W00002450,W06000023
-3.39941548976061,52.1573176146058,W00002451,W06000023
-3.39237732538538,52.6413946815675,W00002452,W06000023
-3.3186101467918,52.6493654709547,W00002453,W06000023
-3.33501791722248,52.6518469395309,W00002454,W06000023
-3.33482412944386,52.6609082907289,W00002455,W06000023
-3.33346023787004,52.6395336943519,W00002456,W06000023
-3.37692435034489,52.7316978259432,W00002457,W06000023
