X,Y,objectid,oa11cd,lad11cd,st_areasha,st_lengths
-4.15399809618606,50.4290385503644,74287,E00076622,E06000026,81786.6249805,2098.78686780487
-4.12854363956834,50.4331831348363,74288,E00076623,E06000026,138412.08442,2184.8414343045
-4.12609431186834,50.4315354256915,74289,E00076624,E06000026,65626.982627,1627.3699986183
-4.13396477411371,50.4306868152909,74290,E00076625,E06000026,40769.9021,1484.65257205485
-4.1403049037336,50.4299232256051,74291,E00076626,E06000026,44059.37114,1360.56743365595
-4.16402981666437,50.3840570605047,74292,E00076627,E06000026,29564.66022,1069.9381752098
-4.15658959658385,50.375719499257,74293,E00076628,E06000026,27509.912569,816.259947218648
-4.16823533481683,50.3756896124545,74294,E00076629,E06000026,43934.334793,1425.92374849749
-4.16499563086297,50.3730275926397,74295,E00076630,E06000026,214151.0696965,2600.20393753447
-4.16026412743721,50.374126664457,74296,E00076631,E06000026,70713.384055,1505.8937535428
-4.16519487211552,50.3764648493487,74297,E00076632,E06000026,71572.70017,1810.222245919
-4.16160007742784,50.3764451937254,74298,E00076633,E06000026,75336.09772,1735.16171164235
-4.16729690032422,50.3875299285887,74299,E00076634,E06000026,53094.274641,1469.02044580639
-4.17006419322806,50.387321307438,74300,E00076635,E06000026,33985.0512985,906.213446481765
-4.16687639642049,50.3863902150485,74301,E00076636,E06000026,35771.6270055,1334.48916248704
-4.16170702506038,50.3860820846616,74302,E00076637,E06000026,52195.04932,1212.70057041976
-4.17188037527469,50.385691360135,74303,E00076638,E06000026,34701.332578,1127.49583460483
-4.16471096528344,50.3864592506478,74304,E00076639,E06000026,36564.0614955,1398.14944035712
-4.17079650582174,50.3846709724628,74305,E00076640,E06000026,35114.1770505,1028.37780843669
-4.16160651262614,50.3849725595715,74306,E00076641,E06000026,26491.1833675,830.234202976379
